year,age,sex,chd_incd_clbr_fctr,stroke_incd_clbr_fctr,t2dm_incd_clbr_fctr,chd_ftlt_clbr_fctr,stroke_ftlt_clbr_fctr,nonmodelled_ftlt_clbr_fctr
2013,30,men,1.21269016204262,1.01375083210304,0.998497310404249,189.721090002464,152.858075574605,0.9769553396742
2013,30,women,1.04711882723913,0.992205607541799,0.97473571757135,170.335311606523,150.287761201915,1.00754113485299
2013,31,men,0.968897065840879,0.968927442633954,0.966979170488261,186.281697346991,168.700085215016,1.00046654687939
2013,31,women,1.03342471342255,0.98897491297389,0.96640378076903,171.584415067902,157.046917726127,1.03789153554255
2013,32,men,0.799917271928243,0.964558429761783,0.981154749056968,187.536399739384,168.17527314285,0.993847454834179
2013,32,women,0.923145773552329,0.976344591440255,1.00128713850157,184.084315507861,113.888201102049,0.976629774354903
2013,33,men,0.76124003234028,0.969287763134085,0.974274013250416,99.9198548613774,95.1546469213137,1.0281067035319
2013,33,women,0.841785900075455,0.953408748344158,1.01461261034831,184.093102596501,93.6876929000929,1.01267165392274
2013,34,men,0.922264478353128,0.918605804594336,0.95101217494969,98.31834837102,96.359440313739,0.987788541967663
2013,34,women,0.944976848936108,0.95675614445714,0.962043104791252,181.608658800138,96.9278432527673,0.964002614206768
2013,35,men,1.02800356011358,0.921834171930857,1.32693852152157,97.5379539736828,102.53533889282,1.02138206040674
2013,35,women,1.01113212624582,0.941104704806602,1.24573929332502,97.5215786081552,100.733744721074,1.00717529449712
2013,36,men,1.14671607146945,0.93911638755211,1.26287038406127,99.9003404488386,77.9323594684897,0.977886208113311
2013,36,women,1.11611705200692,1.00033436544709,1.30527954225419,97.6148556709856,107.374874724667,0.990047704038081
2013,37,men,1.27417242412035,0.924101881074697,1.27248070316102,68.0446206508907,81.334026457964,1.00325736080749
2013,37,women,1.23505689182456,0.953152399111522,1.35759188009968,97.2116235823165,108.159930471625,1.06020358946083
2013,38,men,1.20022139878462,0.925013113117813,1.18871964827497,72.0019295439455,83.2084596068131,0.927019116589937
2013,38,women,1.02453413035228,0.976696840014317,1.21721036420926,101.264858243267,78.8408996054648,1.0455924110788
2013,39,men,1.06621835267616,0.918038844339535,1.1373514248091,55.7659427711421,65.8335018683551,1.08265339455298
2013,39,women,0.958354593027094,0.931451771220026,1.3476659015411,73.2068343542692,77.6172277295973,0.981877686754955
2013,40,men,0.979653041592857,0.929611839378558,1.18990659255453,56.5919300246864,68.2609636645738,0.981972520846718
2013,40,women,1.00000818181658,0.925521317650133,1.02747741639762,102.781356872165,63.3530667467926,0.974643186534894
2013,41,men,0.936562889055163,0.885582482606945,1.09416566204864,46.9534415346927,57.6691539738774,0.971381730595942
2013,41,women,0.956005647021412,0.932569783005926,1.20065245249206,71.1708076147973,56.2860027727857,0.996124790191141
2013,42,men,0.934570063981259,0.927143746187592,1.10902731899409,47.0006712075491,60.4887861935436,0.924932395988385
2013,42,women,0.997526563167647,0.961156308151625,1.22960940366367,71.7553108389965,65.30251926466,1.01804913632769
2013,43,men,0.932493128975798,0.911794603149612,1.3055299742954,47.0223103918673,45.6766822528403,0.969019355142015
2013,43,women,1.02082554193173,0.923041207253512,1.03426082965276,68.6986822724365,59.6724622166366,1.00116302396525
2013,44,men,0.949339946073093,0.896861469948176,1.34166729708576,40.5247105889135,53.6096624114282,1.01511194795335
2013,44,women,1.01215142752364,0.911543255403964,1.11618452111003,70.0075539502839,52.3644435537016,0.981642438492429
2013,45,men,0.89214375844119,0.886585021642588,1.20269427053822,36.2929139355531,41.5343865458662,0.950379885774862
2013,45,women,0.913022466020329,0.912611607352668,1.23733597218734,51.492989665346,46.6499370055013,0.988603552879938
2013,46,men,0.920063447275213,0.883744466449518,1.02361280500282,32.5545716688112,38.5640016576106,0.963624658532087
2013,46,women,0.909227704704514,0.872514810768726,1.31683758865709,51.3632145801354,45.9349874352104,1.06673936268062
2013,47,men,0.865313532647856,0.900507845982633,1.10856120642082,28.900204485317,36.4501101764978,0.965726797666722
2013,47,women,0.957430154371021,0.881028958613963,1.28349601879173,49.4551087908738,40.6686478489714,1.03211868048042
2013,48,men,0.916465361759489,0.88561207036687,1.20196404959554,31.1899780592361,34.8881634874719,0.978966400973756
2013,48,women,0.898527288418695,0.889739147729435,1.43530258077265,45.6116591555612,36.7778678571563,0.98822794108668
2013,49,men,0.869480087961366,0.898869189589869,1.17938293542386,24.7608715431933,29.0142656788793,0.985996855668652
2013,49,women,0.989776851613102,0.869439988271132,1.11297328576943,37.6120319810241,33.2227394300477,0.978309445861861
2013,50,men,0.883654780805892,0.852659267613318,1.34318321880208,25.1566891425544,26.5540493651121,1.00242957756733
2013,50,women,0.921120777349408,0.84695026667462,1.15301456496804,37.027470496966,33.504402046141,0.949114559153972
2013,51,men,0.908364750088782,0.839442663552898,1.16237210177449,24.7697126155265,24.8548687655652,1.00243750338005
2013,51,women,0.995627287205423,0.862650191213958,1.23385372519194,36.3484329167683,32.7123596530673,1.0543884944792
2013,52,men,0.915335329737823,0.87543209836391,1.22515504722591,21.6836140960259,25.6279770392783,0.987286828802351
2013,52,women,0.887332153369754,0.859286202611371,0.96436774674488,33.388788450999,29.9107808864012,0.967597420279126
2013,53,men,0.924224569150208,0.868794185715807,1.48668789330224,21.536120115081,22.0785691051105,0.944533468239246
2013,53,women,0.93053529226614,0.882286028682654,1.28321768403209,27.9886571882872,28.0706937109847,0.982182739591279
2013,54,men,0.870786141449177,0.845323687741967,1.38548475467377,18.6106602453071,20.8489437575722,0.94084976607489
2013,54,women,0.892689204326204,0.848417499155384,1.06542297440975,30.4270830148886,23.6678314781392,0.956906446042072
2013,55,men,0.911816694131892,0.836660379181191,1.12778982411592,15.6104591976519,19.0950673234848,0.952995005017101
2013,55,women,0.915845322401177,0.860574007512647,1.05529818842972,23.592719028444,23.0349497538034,0.978993109562946
2013,56,men,0.881459149878904,0.847809832140409,1.12376575917572,15.4787404713531,16.9664410862603,1.00061907240882
2013,56,women,0.884677993695818,0.845941944971053,1.21264808881888,23.0694745319351,21.0327012309994,0.964723991148608
2013,57,men,0.871068268718505,0.843935301744506,1.32712257647413,14.5879018277408,15.801792172863,0.949180572675363
2013,57,women,0.843020895923658,0.833093679462567,1.07391572932,21.7196900460544,20.1822107891093,0.971253897370458
2013,58,men,0.920100580132433,0.84000095098496,1.27094397983952,13.8526209011346,14.986140000443,0.975844459281769
2013,58,women,0.852163636823499,0.838635073817233,1.2466076191908,17.9180355599751,21.3357961113697,0.949878856089816
2013,59,men,0.903894705923351,0.835540682020756,1.22774871638945,12.5213320913009,13.978477217212,0.965458900591272
2013,59,women,0.883818534497971,0.797449328346321,1.54036627089081,19.6826446047036,17.7363681921223,0.945476266174045
2013,60,men,0.958415775802642,0.94636934247763,1.07387848592555,13.6716762611279,17.0044975277456,0.955962669525909
2013,60,women,0.914014776612378,0.94610210764203,1.21350730794346,19.1194415282939,24.6926916930334,0.94500036822599
2013,61,men,0.92813049763537,0.934086225062188,1.33804485655891,12.2086541267736,15.9879200618746,0.957483878549323
2013,61,women,0.933416873260639,0.90589855347064,1.16769618261265,18.2369315452013,21.5934097619534,0.915375100385407
2013,62,men,0.933223406981745,0.937709447361981,1.17619679848294,12.228319937804,15.1866097257177,0.98350015093695
2013,62,women,0.925453981247508,0.923272863738576,1.27897084054836,17.6049011191234,22.5913295425835,0.927375052233595
2013,63,men,0.946844926410623,0.929387773751734,1.27822926691273,10.8164027442182,14.0713552545231,0.94378813885854
2013,63,women,0.943991402014903,0.918385042337271,1.12908123072417,16.6207186166747,20.5514594195438,0.943656361881543
2013,64,men,0.934982568863305,0.928139362395245,1.11262120273115,11.0296756191004,13.7200720665169,0.963483757075214
2013,64,women,0.930893146109723,0.923254322198556,1.12289460957571,16.0721169101722,18.8747506980891,0.972369700117047
2013,65,men,0.948413720253318,0.922124824499024,1.10835340020746,9.84211315193808,12.571024289538,0.943558229570947
2013,65,women,0.965309755097281,0.913601362692926,1.45515132391715,15.0090228373889,18.6516250848758,0.953665246356685
2013,66,men,0.940171661470443,0.933512384950761,1.25293029845336,10.8641718778676,12.9400102958779,0.959256805734059
2013,66,women,0.90781001794365,0.907886942841172,1.12523729042575,14.1349827624991,17.7971719295164,0.927896124765397
2013,67,men,0.929460143266587,0.948778414909012,1.19932065027089,9.23253837852524,11.6473888524211,0.940931227182909
2013,67,women,0.904577215714804,0.895373419377163,1.10818846492205,13.905770848317,16.1085035675658,0.938228213554216
2013,68,men,0.956211670745309,0.948651423642958,1.15403139915277,8.94207928938095,10.7568667457011,0.910553752132369
2013,68,women,0.93027343263082,0.910748811525135,1.29154687754303,12.8241350764598,16.9083605893552,0.962288737465597
2013,69,men,0.95946065823582,0.941147070165361,1.09625095137672,8.49937440141242,10.6082518752052,0.941772766379091
2013,69,women,0.916354955752497,0.901202665265762,1.29306364033283,10.9595040458803,15.6989274591249,0.935267481382962
2013,70,men,0.963239702309093,0.966069821140177,1.08569054121961,8.88303509226002,10.2274201441859,0.911565829122502
2013,70,women,0.93605228214388,0.930491533723537,1.35626308370299,10.6337831598068,16.2472995673259,0.928148269740772
2013,71,men,0.993345127386684,0.966530348069731,1.15741584540957,8.67711546332045,9.97621493559751,0.922380464360361
2013,71,women,0.973390393705338,0.9218454436946,1.16203099191963,11.8765338338335,13.4314859079246,0.891403557342914
2013,72,men,1.00509933138063,0.969454347258248,1.22128421174546,8.25327422471937,9.38287842454587,0.938340297358966
2013,72,women,0.94768760076614,0.933377663243134,1.2009863564003,9.86808562085099,15.3243898050065,0.914138416833351
2013,73,men,0.957159045577852,0.963487695936853,1.31808866479042,7.52322973802287,9.257817258188,0.913611524316739
2013,73,women,0.973737016865203,0.924912752174118,1.21017353497076,12.0522511036991,13.9857615553288,0.874679924934921
2013,74,men,0.974753396169027,0.982359394352237,1.20747901248426,7.64729545156028,9.67446546811368,0.945182778389062
2013,74,women,0.956045210360509,0.923252398942689,1.15536233793086,9.34432621697918,13.072124274545,0.898620088537293
2013,75,men,0.99902998182851,0.993677115815813,1.39380956260658,7.54209348965795,9.35715629345345,0.944992446715812
2013,75,women,0.9793284443199,0.944927383032006,1.16051307860119,9.77035269230966,12.3997668158872,0.938561243296135
2013,76,men,1.02077877394758,1.00202938496485,1.2635393117271,8.03105155212384,8.93896568571745,0.921979067855374
2013,76,women,0.969657384688791,0.972683583057496,1.4818206011461,9.36396301386363,12.6671809974846,0.957215342971644
2013,77,men,0.991659116381935,0.993559456454806,1.12565954194303,8.29895157815679,8.78999181657845,0.965119612572214
2013,77,women,0.955624925601827,0.972620734549575,1.26974936773029,9.14829496355484,12.2209349319404,0.880694244613387
2013,78,men,1.03229579643308,1.03076985887626,1.26701431121444,8.41568499588376,8.31885729274249,0.926236074724111
2013,78,women,0.975720690445752,0.986310368013795,1.15760860937527,8.98739047489372,11.5722777958701,0.931326589480736
2013,79,men,1.06056558334046,1.02198993739624,1.42919363054613,7.99079445140709,7.88964097794058,0.936328870458864
2013,79,women,0.993006589904348,0.977999675183621,1.2633879131976,8.53985982960761,10.5000411788081,0.949572396291824
2013,80,men,1.04466950939204,1.03129718090722,1.25772206382275,7.23421923571186,7.56595032232918,0.896201770333677
2013,80,women,0.987782931642396,0.98403292455855,1.24455423405437,7.91314853898418,10.444543576037,0.976468209630874
2013,81,men,1.10061571921405,1.03238512750286,1.38227768070991,6.91845663507322,8.17467747311488,0.912402380662838
2013,81,women,1.01320243547205,0.991710864896856,1.31240741495643,8.63987087488485,10.4053875241476,0.926078733709422
2013,82,men,1.10900648405456,1.07695590438887,1.23606905022037,7.09605090500884,7.16768894939795,0.995554901289381
2013,82,women,1.04131401528509,0.990706474799266,1.20691455712305,7.98556392197299,10.4368976105184,0.910589454831667
2013,83,men,1.11543873081167,1.0474142366135,1.48434119670696,7.36641686913518,8.22081896269991,0.930634079360441
2013,83,women,1.04786842471255,1.01079899765007,1.38876009426637,8.42282924049831,11.8719383475477,0.930250004656942
2013,84,men,1.14726483133364,1.06611762327304,1.37369432887881,7.13726793350024,8.33759984037572,1.01187167575006
2013,84,women,1.07049145664367,1.00963799708942,1.27484339753121,7.94966364843554,11.8796326132085,0.949504531639032
2013,85,men,1.15273468582567,1.09537061030224,1.24717935863532,8.00313042488331,8.93692001386797,1.01235890032589
2013,85,women,1.07297145641921,1.03075644648592,1.09782325077668,8.17028617727839,12.4517616347503,0.967332804848953
2013,86,men,1.15941362134314,1.07746262783907,1.26631442676171,6.99457859043023,10.7220444988149,0.928297845615957
2013,86,women,1.06223842367457,1.03703587140875,1.08532272474394,7.99078681203655,13.8731089476121,0.974778905334457
2013,87,men,1.18191781156886,1.07423462603977,0.952392037416254,7.66797125144137,9.01507574419975,0.913147326412954
2013,87,women,1.09772632907713,1.03949340708189,1.13763140508629,9.82092094950886,13.5502484971914,0.992847401441989
2013,88,men,1.2495951760551,1.14008936477523,1.97763118914717,7.1700747501025,9.41917622332896,1.09769042332656
